PMID,Title,Abstract,Journal,Language,Year,Month,Day,Authors,Keywords,DOI
33410425,"COVID-19: Advances in diagnostic tools, treatment strategies, and vaccine development.","An unprecedented worldwide spread of the SARS-CoV-2 has imposed severe challenges on healthcare facilities and medical infrastructure. The global research community faces urgent calls for the development of rapid diagnostic tools, effective treatment protocols, and most importantly, vaccines against the pathogen. Pooling together expertise across broad domains to innovate effective solutions is the need of the hour. With these requirements in mind, in this review, we provide detailed critical accounts on the leading efforts at developing diagnostics tools, therapeutic agents, and vaccine candidates. Importantly, we furnish the reader with a multidisciplinary perspective on how conventional methods like serology and RT-PCR, as well as cutting-edge technologies like CRISPR/Cas and artificial intelligence/machine learning, are being employed to inform and guide such investigations. We expect this narrative to serve a broad audience of both active and aspiring researchers in the field of biomedical sciences and engineering and help inspire radical new approaches towards effective detection, treatment, and prevention of this global pandemic.",Journal of biosciences,eng,2020,,,Sreepadmanabh M; Sahu Amit Kumar; Chande Ajit,No Keywords,10.1007/s12038-020-00114-6
33322035,Comparison of Rapid Antigen Tests for COVID-19.,"Reverse transcription-quantitative PCR (RT-qPCR)-based tests are widely used to diagnose coronavirus disease 2019 (COVID-19). As a result that these tests cannot be done in local clinics where RT-qPCR testing capability is lacking, rapid antigen tests (RATs) for COVID-19 based on lateral flow immunoassays are used for rapid diagnosis. However, their sensitivity compared with each other and with RT-qPCR and infectious virus isolation has not been examined. Here, we compared the sensitivity among four RATs by using severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) isolates and several types of COVID-19 patient specimens and compared their sensitivity with that of RT-qPCR and infectious virus isolation. Although the RATs read the samples containing large amounts of virus as positive, even the most sensitive RAT read the samples containing small amounts of virus as negative. Moreover, all RATs tested failed to detect viral antigens in several specimens from which the virus was isolated. The current RATs will likely miss some COVID-19 patients who are shedding infectious SARS-CoV-2.",Viruses,eng,2020,12,10,Yamayoshi Seiya; Sakai-Tagawa Yuko; Koga Michiko; Akasaka Osamu; Nakachi Ichiro; Koh Hidefumi; Maeda Kenji; Adachi Eisuke; Saito Makoto; Nagai Hiroyuki; Ikeuchi Kazuhiko; Ogura Takayuki; Baba Rie; Fujita Kensuke; Fukui Takahiro; Ito Fumimaro; Hattori Shin-Ichiro; Yamamoto Kei; Nakamoto Takato; Furusawa Yuri; Yasuhara Atsuhiro; Ujie Michiko; Yamada Shinya; Ito Mutsumi; Mitsuya Hiroaki; Omagari Norio; Yotsuyanagi Hiroshi; Iwatsuki-Horimoto Kiyoko; Imai Masaki; Kawaoka Yoshihiro,COVID-19; SARS-CoV-2; diagnosis; rapid antigen test,10.3390/v12121420
34497366,Advancements in detection of SARS-CoV-2 infection for confronting COVID-19 pandemics.,"As one of the major approaches in combating the COVID-19 pandemics, the availability of specific and reliable assays for the SARS-CoV-2 viral genome and its proteins is essential to identify the infection in suspected populations, make diagnoses in symptomatic or asymptomatic individuals, and determine clearance of the virus after the infection. For these purposes, use of the quantitative reverse transcriptase polymerase chain reaction (qRT-PCR) for detection of the viral nucleic acid remains the most valuable in terms of its specificity, fast turn-around, high-throughput capacity, and reliability. It is critical to update the sequences of primers and probes to ensure the detection of newly emerged variants. Various assays for increased levels of IgG or IgM antibodies are available for detecting ongoing or past infection, vaccination responses, and persistence and for identifying high titers of neutralizing antibodies in recovered individuals. Viral genome sequencing is increasingly used for tracing infectious sources, monitoring mutations, and subtype classification and is less valuable in diagnosis because of its capacity and high cost. Nanopore target sequencing with portable options is available for a quick process for sequencing data. Emerging CRISPR-Cas-based assays, such as SHERLOCK and AIOD-CRISPR, for viral genome detection may offer options for prompt and point-of-care detection. Moreover, aptamer-based probes may be multifaceted for developing portable and high-throughput assays with fluorescent or chemiluminescent probes for viral proteins. In conclusion, assays are available for viral genome and protein detection, and the selection of specific assays depends on the purposes of prevention, diagnosis and pandemic control, or monitoring of vaccination efficacy.",Laboratory investigation; a journal of technical methods and pathology,eng,2022,01,,Zhou Yuan; Zhang Li; Xie You-Hua; Wu Jian,No Keywords,10.1038/s41374-021-00663-w
33666147,Lessons learned 1 year after SARS-CoV-2 emergence leading to COVID-19 pandemic.,"Without modern medical management and vaccines, the severity of the Coronavirus Disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome (SARS) coronavirus 2 (SARS-CoV-2) might approach the magnitude of 1894-plague (12 million deaths) and 1918-A(H1N1) influenza (50 million deaths) pandemics. The COVID-19 pandemic was heralded by the 2003 SARS epidemic which led to the discovery of human and civet SARS-CoV-1, bat SARS-related-CoVs, Middle East respiratory syndrome (MERS)-related bat CoV HKU4 and HKU5, and other novel animal coronaviruses. The suspected animal-to-human jumping of 4 betacoronaviruses including the human coronaviruses OC43(1890), SARS-CoV-1(2003), MERS-CoV(2012), and SARS-CoV-2(2019) indicates their significant pandemic potential. The presence of a large reservoir of coronaviruses in bats and other wild mammals, culture of mixing and selling them in urban markets with suboptimal hygiene, habit of eating exotic mammals in highly populated areas, and the rapid and frequent air travels from these areas are perfect ingredients for brewing rapidly exploding epidemics. The possibility of emergence of a hypothetical SARS-CoV-3 or other novel viruses from animals or laboratories, and therefore needs for global preparedness should not be ignored. We reviewed representative publications on the epidemiology, virology, clinical manifestations, pathology, laboratory diagnostics, treatment, vaccination, and infection control of COVID-19 as of 20 January 2021, which is 1 year after person-to-person transmission of SARS-CoV-2 was announced. The difficulties of mass testing, labour-intensive contact tracing, importance of compliance to universal masking, low efficacy of antiviral treatment for severe disease, possibilities of vaccine or antiviral-resistant virus variants and SARS-CoV-2 becoming another common cold coronavirus are discussed.",Emerging microbes & infections,eng,2021,12,,To Kelvin Kai-Wang; Sridhar Siddharth; Chiu Kelvin Hei-Yeung; Hung Derek Ling-Lung; Li Xin; Hung Ivan Fan-Ngai; Tam Anthony Raymond; Chung Tom Wai-Hin; Chan Jasper Fuk-Woo; Zhang Anna Jian-Xia; Cheng Vincent Chi-Chung; Yuen Kwok-Yung,COVID-19; Coronavirus; Diagnostics; Pandemic; Pathogenesis; SARS-CoV-2; Treatment; Vaccines,10.1080/22221751.2021.1898291
36656511,The Potential of Nanobodies for COVID-19 Diagnostics and Therapeutics.,"The infectious severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is the causative agent for coronavirus disease 2019 (COVID-19). Globally, there have been millions of infections and fatalities. Unfortunately, the virus has been persistent and a contributing factor is the emergence of several variants. The urgency to combat COVID-19 led to the identification/development of various diagnosis (polymerase chain reaction and antigen tests) and treatment (repurposed drugs, convalescent plasma, antibodies and vaccines) options. These treatments may treat mild symptoms and decrease the risk of life-threatening disease. Although these options have been fairly beneficial, there are some challenges and limitations, such as cost of tests/drugs, specificity, large treatment dosages, intravenous administration, need for trained personal, lengthy production time, high manufacturing costs, and limited availability. Therefore, the development of more efficient COVID-19 diagnostic and therapeutic options are vital. Nanobodies (Nbs) are novel monomeric antigen-binding fragments derived from camelid antibodies. Advantages of Nbs include low immunogenicity, high specificity, stability and affinity. These characteristics allow for rapid Nb generation, inexpensive large-scale production, effective storage, and transportation, which is essential during pandemics. Additionally, the potential aerosolization and inhalation delivery of Nbs allows for targeted treatment delivery as well as patient self-administration. Therefore, Nbs are a viable option to target SARS-CoV-2 and overcome COVID-19. In this review we discuss (1) COVID-19; (2) SARS-CoV-2; (3) the present conventional COVID-19 diagnostics and therapeutics, including their challenges and limitations; (4) advantages of Nbs; and (5) the numerous Nbs generated against SARS-CoV-2 as well as their diagnostic and therapeutic potential.",Molecular diagnosis & therapy,eng,2023,03,,Naidoo Dhaneshree Bestinee; Chuturgoon Anil Amichund,No Keywords,10.1007/s40291-022-00634-x
33215941,Advances in Technology to Address COVID-19.,No Abstract,SLAS technology,eng,2020,12,,Chow Edward Kai-Hua; Wong Pak Kin; Ding Xianting,No Keywords,10.1177/2472630320969634
36934395,"Exosomes in COVID-19 infection: Focus on role in diagnosis, pathogenesis, immunity, and clinical trials.","Since the end of 2019, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has spread as a new strain of coronavirus disease (COVID-19) and progressed as a global pandemic. Exosomes are membrane-bound vesicles released from almost all cells and are crucially involved in cell-cell communication. Interestingly, COVID-19 viral particles produce exosomes that moderate communication between infected and uninfected cells. Hence, there is growing evidence highlighting the crucial implications of exosomes in COVID-19 infection, transmission, intercellular spread, and reinfection. On the other hand, clinical trials have demonstrated mesenchymal stem cell-derived exosomes as a promising therapeutic strategy for severely affected COVID-19 patients. Also, convalescent plasma-derived exosomes have been proposed for multiple efficacies in COVID-19 patients. Furthermore, messenger RNAs (mRNA)-loaded exosomes were superior to mRNA-loaded lipid nanoparticles as a delivery system. Hence, exosomes can be used to safely induce SARS-CoV-2 immunity via their loading with mRNAs encoding immunogenic forms of SARS-CoV-2 spike and nucleocapsid proteins. Moreover, exosomes can be used as a nano-delivery system for microRNA to alleviate cytokine storm and prevent the progression of organ failure in COVID-19 patients. The present review summarizes state of the art concerning the role of exosomes in COVID-19 infection and accompanying organ complications as well as the potential use of exosomes in COVID-19 diagnosis, treatment, drug delivery, and vaccination. The review also sheds the light on the common biogenic pathway between the SARS-CoV-2 virus and exosomes. Additionally, the latest and current clinical trials using exosomes for COVID-19 infection are summarized.",Cell biology international,eng,2023,06,,Aljuhani Alhanouf; Albalawi Omniah; Albalawi Rahaf; Alsalama Reem; Alatawi Safyah; Altemani Reem; Abdel-Maksoud Mohamed S; Elsherbiny Nehal,COVID-19; biomarker; drug delivery system; exosomes; vaccination,10.1002/cbin.12014
33187528,Rapid SARS-CoV-2 antigen detection assay in comparison with real-time RT-PCR assay for laboratory diagnosis of COVID-19 in Thailand.,"The Coronavirus disease 2019 (COVID-19) pandemic continues to spread across the world. Hence, there is an urgent need for rapid, simple, and accurate tests to diagnose severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection. Performance characteristics of the rapid SARS-CoV-2 antigen detection test should be evaluated and compared with the gold standard real-time reverse transcription-polymerase chain reaction (RT-PCR) test for diagnosis of COVID-19 cases. The rapid SARS-CoV-2 antigen detection test, Standard™ Q COVID-19 Ag kit (SD Biosensor®, Republic of Korea), was compared with the real-time RT-PCR test, Allplex™ 2019-nCoV Assay (Seegene®, Korea) for detection of SARS-CoV-2 in respiratory specimens. Four hundred fifty-four respiratory samples (mainly nasopharyngeal and throat swabs) were obtained from COVID-19 suspected cases and contact individuals, including pre-operative patients at Siriraj Hospital, Bangkok, Thailand during March-May 2020. Of 454 respiratory samples, 60 (13.2%) were positive, and 394 (86.8%) were negative for SARS-CoV-2 RNA by real-time RT-PCR assay. The duration from onset to laboratory test in COVID-19 suspected cases and contact individuals ranged from 0 to 14 days with a median of 3 days. The rapid SARS-CoV-2 antigen detection test's sensitivity and specificity were 98.33% (95% CI, 91.06-99.96%) and 98.73% (95% CI, 97.06-99.59%), respectively. One false negative test result was from a sample with a high real-time RT-PCR cycle threshold (Ct), while five false positive test results were from specimens of pre-operative patients. The rapid assay for SARS-CoV-2 antigen detection showed comparable sensitivity and specificity with the real-time RT-PCR assay. Thus, there is a potential use of this rapid and simple SARS-CoV-2 antigen detection test as a screening assay.",Virology journal,eng,2020,11,13,Chaimayo Chutikarn; Kaewnaphan Bualan; Tanlieng Nattaya; Athipanyasilp Niracha; Sirijatuphat Rujipas; Chayakulkeeree Methee; Angkasekwinai Nasikarn; Sutthent Ruengpung; Puangpunngam Nattawut; Tharmviboonsri Theerawoot; Pongraweewan Orawan; Chuthapisith Suebwong; Sirivatanauksorn Yongyut; Kantakamalakul Wannee; Horthongkham Navin,COVID-19; RT-PCR; Rapid antigen; SARS-CoV-2; Thailand,10.1186/s12985-020-01452-5
33896155,"Antibodies for COVID-19 - which, when and how long?","Infection with SARS-CoV2 leads to COVID-19, the severity of which derives from the host’s immune response, especially the release of a storm of pro-inflammatory cytokines. This coronavirus infects by first binding to the ectoenzyme Angiotensin Converting Enzyme 2 (ACE2), a serine protease acting as the receptor, while another serine protease is necessary for priming the viral spike “S” protein required for entering the cells. Repurposing existing drugs for potential anti-coronavirus activity have failed. As a result, there were intense efforts to rapidly produce ways of providing prophylactic active immunization (vaccines) or abortive passive (convalescent plasma or monoclonal antibodies) neutralizing antibodies. The availability of vaccines for COVID-19 have been largely successful, but many questions still remain unanswered. In spite of the original enthusiasm, clinical studies using convalescent serum or monoclonal antibodies have shown limited benefit. Moreover, the emergence of Long-COVID syndrome in most infected patients necessitates the development of treatment approaches that may prevent viral entry by blocking both serine proteases involved, as with a liposomal blend of the natural flavonoids luteolin and quercetin.",Journal of biological regulators and homeostatic agents,eng,2021,,,Theoharides T C; Lauritano D; Ronconi G; Calvisi V; Conti P,S protein; antibodies; convalescent serum; corona virus; receptor,10.23812/Theo_edit
33234439,COVID-19 Antibody Tests: A Valuable Public Health Tool with Limited Relevance to Individuals.,"Antibody tests for detecting past infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have many uses for public health decision making, but demand has largely come from individual consumers. This review focuses on the individual relevance of antibody tests: their accuracy in detecting prior infection, what past SARS-CoV-2 infection can currently infer about future immunity or possible medical sequelae, and the potential future importance of antibody tests for vaccine selection and medical screening. Given uncertainty about the antibody tests (quality, accuracy level, positive predictive value) and what those tests might indicate immunologically (durability of antibodies and necessity for protection from reinfection), seropositive test results should not be used to inform individual decision making, and antibody testing should remain a tool of public health at this time.",Trends in microbiology,eng,2021,03,,West Rachel; Kobokovich Amanda; Connell Nancy; Gronvall Gigi Kwik,COVID-19; SARS-CoV-2; antibody tests; serology tests,10.1016/j.tim.2020.11.002
34478703,Novel approaches for rapid detection of COVID-19 during the pandemic: A review.,"The rapid spread of the SARS-CoV-2 virus that caused the COVID-19 disease, has highlighted our urgent need for sensitive, fast and accurate diagnostic technologies. In fact, one of the main challenges for flatting COVID-19 spread charts is the ability to accurately and rapidly identify asymptomatic cases that result in spreading the virus to close contacts. SARS-CoV-2 virus mutation is also relatively rapid, which makes the detection of COVID-19 diseases still crucial even after the vaccination. Conventional techniques, which are commercially available have focused on clinical manifestation, along with molecular and serological detection tools that can identify the SARS-CoV-2 virus however, owing to various disadvantages including low specificity and sensitivity, a quick, low cost and easy approach is needed for diagnosis of COVID-19. Scientists are now showing extensive interest in an effective portable and simple detection method to diagnose COVID-19. There are several novel methods and approaches that are considered viable advanced systems that can meet the demands. This study reviews the new approaches and sensing technologies that work on COVID-19 diagnosis for easy and successful detection of SARS-CoV-2 virus.",Analytical biochemistry,eng,2021,12,01,Ilkhani Hoda; Hedayat Nader; Farhad Siamak,Bioassay; Biosensor; COVID-19; Immunoassay; PCR; SARS-CoV-2,10.1016/j.ab.2021.114362
33172592,Update in COVID-19 in the intensive care unit from the 2020 HELLENIC Athens International symposium.,"The 2020 International Web Scientific Event in COVID-19 pandemic in critically ill patients aimed at updating the information and knowledge on the COVID-19 pandemic in the intensive care unit. Experts reviewed the latest literature relating to the COVID-19 pandemic in critically ill patients, such as epidemiology, pathophysiology, phenotypes of infection, COVID-19 as a systematic infection, molecular diagnosis, mechanical ventilation, thromboprophylaxis, COVID-19 associated co-infections, immunotherapy, plasma treatment, catheter-related bloodstream infections, artificial intelligence for COVID-19, and vaccination. Antiviral therapy and co-infections are out of the scope of this review. In this review, each of these issues is discussed with key messages regarding management and further research being presented after a brief review of available evidence.","Anaesthesia, critical care & pain medicine",eng,2020,12,,Rello Jordi; Belliato Mirko; Dimopoulos Meletios-Athanasios; Giamarellos-Bourboulis Evangelos J; Jaksic Vladimir; Martin-Loeches Ignacio; Mporas Iosif; Pelosi Paolo; Poulakou Garyphallia; Pournaras Spyridon; Tamae-Kakazu Maximiliano; Timsit Jean-François; Waterer Grant; Tejada Sofia; Dimopoulos George,ARDS; Acute respiratory failure; COVID-19; Intensive care; Pneumonia; SARS-CoV-2,10.1016/j.accpm.2020.10.008
